Position,"Track Name",Artist,Streams,URL
120,"Hasta la Raíz","Natalia Lafourcade",249337,https://open.spotify.com/track/5rSrGaSh81XKSRA6ytab6q
121,"The Scientist",Coldplay,248882,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
122,"Ay Mi Dios",IAmChino,246905,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY
123,"Sugar (feat. Francesco Yates)","Robin Schulz",245572,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
124,"Por Fin Te Encontré","Cali Y El Dandee",245273,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM
125,"Háblame de Ti","Banda Sinaloense MS de Sergio Lizárraga",244411,https://open.spotify.com/track/4YCWsVdCoVQieev0hyeesj
126,Firestone,Kygo,243740,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE
127,"Ain't Your Mama","Jennifer Lopez",236919,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
128,Chandelier,Sia,236415,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
129,"6 AM","J Balvin",235852,https://open.spotify.com/track/3uvypVUsiIr1B0BccIcsEh
130,"I'm Not The Only One","Sam Smith",232285,https://open.spotify.com/track/1VbhR6D6zUoSTBzvnRonXO
131,"Uptown Funk","Mark Ronson",231240,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
132,"Ay Vamos","J Balvin",229808,https://open.spotify.com/track/6Ges5C2IE738iJh4HyQizQ
133,"Hands To Myself","Selena Gomez",229779,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
134,"Cool Girl","Tove Lo",228323,https://open.spotify.com/track/5LWVXN39UpNyhkYnBvDfyq
135,"Mi Razón De Ser","Banda Sinaloense MS de Sergio Lizárraga",226142,https://open.spotify.com/track/5JaMGjY9Ltvo9CFQfmUdYW
136,Roses,"The Chainsmokers",225752,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
137,"Espero Con Ansias","Remmy Valenzuela",225062,https://open.spotify.com/track/22SnIb63vexyG4RlRcqI9r
138,"De Pies a Cabeza",Maná,224629,https://open.spotify.com/track/2CkHE54EH44Qj945ynQRw7
139,"Te Busco",Cosculluela,223519,https://open.spotify.com/track/2M2WWJE863upPYUrzCRjN6
140,"Me Dediqué a Perderte","Alejandro Fernandez",222820,https://open.spotify.com/track/1HpIBHs03kKCxlrPthWXmL
141,Sofia,"Alvaro Soler",221003,https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb
142,"El Tiki",Maluma,220555,https://open.spotify.com/track/5WdSPcKgxWirPXVM7f6xXZ
143,"Runaway (U & I)",Galantis,220162,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
144,Hablemos,"Ariel Camacho y Los Plebes Del Rancho",219685,https://open.spotify.com/track/049wfFS3kAsdmGOH8ktYJ3
145,"Cuando Te Encontré",Matisse,219436,https://open.spotify.com/track/2T2QcAAqzxizTiBpWWMjph
146,"Cheap Thrills",Sia,218823,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
147,"No Lo Hice Bien","Los Plebes del Rancho de Ariel Camacho",216947,https://open.spotify.com/track/211mktDmIq7g2Q4gBTXphj
148,"When I Was Your Man","Bruno Mars",215996,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh
149,"El Perdedor - The Remix",Maluma,215460,https://open.spotify.com/track/4QsPTKvdpgkA7mBAvclZTa
150,"Dangerous Woman","Ariana Grande",214718,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi
151,"Voy a Olvidarte",Reik,214539,https://open.spotify.com/track/6UwB2R8I5LoUmmYc0mphdl
152,Soñé,Zoé,213474,https://open.spotify.com/track/46UhTfdy7LhAFK8BalnJid
153,"Vuélveme a Querer",Thalía,212554,https://open.spotify.com/track/6JnLtLznH6uYrh93vIL4rL
154,"Ya Te Perdí La Fe","La Arrolladora Banda El Limón De Rene Camacho",211244,https://open.spotify.com/track/0KHDthR0XvPoeJaqBc7Sg5
155,"Me Sobrabas Tú","Banda Los Recoditos",210071,https://open.spotify.com/track/33XISWpHJRbAvFSMW1y44A
156,"Fanática Sensual","Plan B",209252,https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp
157,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,208797,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
158,"Si Te Vienen a Contar","Cartel De Santa",208135,https://open.spotify.com/track/4058DPUoC7sLPQ05pr3e4C
159,"Give Me Your Love",Sigala,207931,https://open.spotify.com/track/4CWZOyb9YHIH06yfsvY6k1
160,Luna,Zoé,207086,https://open.spotify.com/track/6YHAExoi0JVSknKbFiT6Kr
161,"Thinking About You","Axwell /\ Ingrosso",206241,https://open.spotify.com/track/3eBwnjEe60kDJAMlFg1ewf
162,"Arrullo De Estrellas",Zoé,206025,https://open.spotify.com/track/1p4rYrxjVkj6v2eMzRhLfA
163,"Adios Amor","Christian Nodal",204882,https://open.spotify.com/track/4pHmECznSREmwzQZMkXZP6
164,"Encantadora - Remix",Yandel,204106,https://open.spotify.com/track/0EpFfFZpCuqYFzHvxOtrZS
165,"Sing Me to Sleep","Alan Walker",202989,https://open.spotify.com/track/6UcTHiP25meOD9ox8Rspgx
166,Company,"Justin Bieber",202231,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
167,"Me Too","Meghan Trainor",202090,https://open.spotify.com/track/1m4dXbkplvaOO4Wbdjbwxs
168,"Sorry - Latino Remix","Justin Bieber",201399,https://open.spotify.com/track/0XXLwO7YHHTAK3OJkWQ37b
169,"Never Be Like You",Flume,200997,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
170,"Where Are Ü Now (with Justin Bieber)","Jack Ü",200949,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
171,"Let Her Go",Passenger,200358,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
172,"Labios Rotos",Zoé,200214,https://open.spotify.com/track/2DWzn0kVcV9iKkiiee4rRE
173,"Como Yo Le Doy - Spanglish Version",Pitbull,199155,https://open.spotify.com/track/2MRv991PzjY2ecCluXoRq9
174,Stay,Kygo,196651,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
175,Travesuras,"Nicky Jam",196559,https://open.spotify.com/track/1PtL0YQRtq3qxDGUSwZPJ5
176,"Sólo el Amor Lastima Así",Motel,196505,https://open.spotify.com/track/5fSs3KBngeOHB308p3F2SC
177,"El Amor De Su Vida","Julión Álvarez y su Norteño Banda",195990,https://open.spotify.com/track/1lROXJjQxzq35Zswlk96sO
178,"¿Por Qué Terminamos?","Gerardo Ortiz",195915,https://open.spotify.com/track/4cuti7K7IqIUm5f9pcCGjh
179,"Waiting For Love",Avicii,195046,https://open.spotify.com/track/6nsLzJfvp5OLd4mgqUJkpq
180,Tatuajes,"Joan Sebastian",194559,https://open.spotify.com/track/7HCXW5BJGnFRqAcwWyPiCX
181,"Perdón, Perdón - HA-ASH Primera Fila - Hecho Realidad [En Vivo]",Ha*Ash,193834,https://open.spotify.com/track/15Hx1oi6C3AxYhhvolqrJG
182,Greenlight,Pitbull,193542,https://open.spotify.com/track/2q95XoeFGixx8b5LNF6Ey1
183,"Amor y Dolor","Carlos Baute",193264,https://open.spotify.com/track/4efQTJSX6Jca1hHZNi74Zd
184,"Reality - Radio Edit","Lost Frequencies",193039,https://open.spotify.com/track/5kZRoc6Gz7u5eu4a0YM2LS
185,"Hasta el Amanecer - The Remix","Nicky Jam",193027,https://open.spotify.com/track/1zzG4BgZSJOLyLuzhqheua
186,Cobarde,Yuridia,192966,https://open.spotify.com/track/1Pk27SJFLKsyqMJDQrOe5B
187,"She Will Be Loved","Maroon 5",192765,https://open.spotify.com/track/7sapKrjDij2fpDVj0GxP66
188,"Nada Es Como Tú - Acústico","Ricardo Arjona",192298,https://open.spotify.com/track/0FJoj1lLkUDPH4dazfrBOz
189,"When We Were Young",Adele,192203,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL
190,"Five More Hours - Deorro x Chris Brown",Deorro,190416,https://open.spotify.com/track/6YwLgicpvVuMt1eE2OldwQ
191,Rude,MAGIC!,190358,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
192,"En Ésta No","Sin Bandera",187734,https://open.spotify.com/track/1zRqRmZyE0bgXkSoVVaCwK
193,"Ahora Te Puedes Marchar","Luis Miguel",184904,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
194,"Eres Mía","Romeo Santos",184703,https://open.spotify.com/track/6I86RF3odBlcuZA9Vfjzeq
195,"Después de Ti, ¿Quién?","La Adictiva Banda San José de Mesillas",184670,https://open.spotify.com/track/2F7jxP3bX0zUxDuGzSjcsM
196,"My House","Flo Rida",184398,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
197,"Please Don't Go","Joel Adams",182922,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
198,"La Mordidita","Ricky Martin",182594,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm
199,"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick",181489,https://open.spotify.com/track/0uVyZywUNOp6S0dU5r8TS8
200,"Stole the Show",Kygo,180515,https://open.spotify.com/track/5masKPHeAOVNgxdLebIcK7
